game_id,pair_id,pair_index,game_index,agent_a,agent_b,agent0,agent1,seed,status,error,elapsed_seconds,winner,winner_name,turns,max_turns_reached,disqualified_player,remaining_walls_0,remaining_walls_1,initial_path_0,initial_path_1,final_path_0,final_path_1,final_path_delta_0,final_path_delta_1,final_diversity_0,final_diversity_1,min_diversity_0,min_diversity_1,move_actions_0,move_actions_1,wall_actions_0,wall_actions_1,trap_events_0,trap_events_1
target-0004-0001,argmax_q_trap__vs__q_learning,4,1,argmax_q_trap,q_learning,q_learning,argmax_q_trap,400001,ok,,9.492579,0,q_learning,89,False,,0,0,8,8,0,3,-8,-5,0,1,0,1,35,34,10,10,1,1
target-0004-0006,argmax_q_trap__vs__q_learning,4,6,argmax_q_trap,q_learning,argmax_q_trap,q_learning,400006,ok,,1.940817,0,argmax_q_trap,39,False,,2,7,8,8,0,15,-8,7,0,1,0,1,12,16,8,3,1,0
target-0004-0008,argmax_q_trap__vs__q_learning,4,8,argmax_q_trap,q_learning,argmax_q_trap,q_learning,400008,ok,,0.496319,0,argmax_q_trap,39,False,,2,7,8,8,0,15,-8,7,0,1,0,1,12,16,8,3,1,0
target-0004-0003,argmax_q_trap__vs__q_learning,4,3,argmax_q_trap,q_learning,q_learning,argmax_q_trap,400003,ok,,9.752349,0,q_learning,71,False,,0,0,8,8,0,10,-8,2,0,1,0,1,26,25,10,10,1,1
target-0004-0007,argmax_q_trap__vs__q_learning,4,7,argmax_q_trap,q_learning,q_learning,argmax_q_trap,400007,ok,,7.273991,0,q_learning,71,False,,1,0,8,8,0,9,-8,1,0,2,0,1,27,25,9,10,1,0
target-0004-0005,argmax_q_trap__vs__q_learning,4,5,argmax_q_trap,q_learning,q_learning,argmax_q_trap,400005,ok,,11.516922,,draw,100,True,,0,0,8,8,4,5,-4,-3,1,1,1,1,40,40,10,10,1,1
target-0004-0010,argmax_q_trap__vs__q_learning,4,10,argmax_q_trap,q_learning,argmax_q_trap,q_learning,400010,ok,,7.034919,0,argmax_q_trap,39,False,,2,7,8,8,0,15,-8,7,0,1,0,1,12,16,8,3,1,0
target-0004-0009,argmax_q_trap__vs__q_learning,4,9,argmax_q_trap,q_learning,q_learning,argmax_q_trap,400009,ok,,8.878249,0,q_learning,71,False,,0,0,8,8,0,11,-8,3,0,1,0,1,26,25,10,10,2,2
target-0004-0014,argmax_q_trap__vs__q_learning,4,14,argmax_q_trap,q_learning,argmax_q_trap,q_learning,400014,ok,,0.700249,0,argmax_q_trap,39,False,,2,7,8,8,0,15,-8,7,0,1,0,1,12,16,8,3,1,0
target-0004-0012,argmax_q_trap__vs__q_learning,4,12,argmax_q_trap,q_learning,argmax_q_trap,q_learning,400012,ok,,1.924433,0,argmax_q_trap,39,False,,2,7,8,8,0,15,-8,7,0,1,0,1,12,16,8,3,1,0
target-0004-0016,argmax_q_trap__vs__q_learning,4,16,argmax_q_trap,q_learning,argmax_q_trap,q_learning,400016,ok,,1.627722,0,argmax_q_trap,39,False,,2,7,8,8,0,15,-8,7,0,1,0,1,12,16,8,3,1,0
target-0004-0011,argmax_q_trap__vs__q_learning,4,11,argmax_q_trap,q_learning,q_learning,argmax_q_trap,400011,ok,,7.729199,1,argmax_q_trap,60,False,,4,0,8,8,5,0,-3,-8,1,0,1,0,24,20,6,10,0,2
target-0004-0015,argmax_q_trap__vs__q_learning,4,15,argmax_q_trap,q_learning,q_learning,argmax_q_trap,400015,ok,,5.620320,0,q_learning,73,False,,0,0,8,8,0,7,-8,-1,0,1,0,1,27,26,10,10,1,3
target-0004-0013,argmax_q_trap__vs__q_learning,4,13,argmax_q_trap,q_learning,q_learning,argmax_q_trap,400013,ok,,6.974178,1,argmax_q_trap,74,False,,0,0,8,8,1,0,-7,-8,1,0,1,0,27,27,10,10,2,0
target-0004-0018,argmax_q_trap__vs__q_learning,4,18,argmax_q_trap,q_learning,argmax_q_trap,q_learning,400018,ok,,7.151487,0,argmax_q_trap,39,False,,2,7,8,8,0,15,-8,7,0,1,0,1,12,16,8,3,1,0
target-0004-0017,argmax_q_trap__vs__q_learning,4,17,argmax_q_trap,q_learning,q_learning,argmax_q_trap,400017,ok,,9.272199,0,q_learning,73,False,,0,0,8,8,0,7,-8,-1,0,1,0,1,27,26,10,10,1,3
target-0004-0019,argmax_q_trap__vs__q_learning,4,19,argmax_q_trap,q_learning,q_learning,argmax_q_trap,400019,ok,,8.426826,1,argmax_q_trap,80,False,,0,0,8,8,4,0,-4,-8,1,0,1,0,30,30,10,10,0,0
